id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Kenneth;O'Kon;Mose.Cruickshank96@hotmail.com;cleat;2024-04-17T20:08:21;28402;13203
2;Reinhold;Kshlerin;Marcellus_Bayer@yahoo.com;yahoo and;2024-04-17T12:36:55;4728;3198
3;Edgar;Pouros;Chance92@gmail.com;consequently upside-down;2024-04-17T23:40:46;7412;21778
4;Cielo;Bailey;Edd_Stracke@yahoo.com;meh sandy upon;2024-04-18T00:26:47;20592;20990
5;Conrad;Morar;Karlee32@gmail.com;aw useless worrisome;2024-04-17T11:32:37;12699;28653
6;Elroy;Rutherford;Noe18@hotmail.com;but repay unless;2024-04-18T02:46:49;18825;4057
7;Ewell;Crona;Wendy.Schmeler@hotmail.com;considering that;2024-04-18T01:13:26;27340;29907
8;Davonte;Daugherty;Morgan.Grady20@hotmail.com;flash;2024-04-17T15:18:19;30723;24838
9;Mozell;Herzog;Cordie42@gmail.com;mmm;2024-04-17T08:58:53;19468;23230
10;Keven;Dooley;Alvina31@yahoo.com;but frontier loose;2024-04-17T19:48:13;21399;1924
